Время,Координата,Плотность,Сера
0,0,850,0.1
0,100,850,0.1
0,200,850,0.1
2,0,870,0.2
2,100,850,0.1
2,200,850,0.1
4,0,870,0.2
4,100,870,0.2
4,200,850,0.1
6,0,870,0.2
6,100,870,0.2
6,200,870,0.2
