Время,Координата,Сера
0,0,0.15
0,100,0.15
0,200,0.15
2,0,0.2
2,100,0.15
2,200,0.15
4,0,0.1
4,100,0.2
4,200,0.15
6,0,0.1
6,100,0.1
6,200,0.2
8,0,0.1
8,100,0.1
8,200,0.1
10,0,0.25
10,100,0.1
10,200,0.1
