Время,Координата,Плотность,Сера
167.094,44.4444,0,0
167.094,66.6667,0,0
167.094,88.8889,0,0
167.094,111.111,0,0
167.094,133.333,0,0
167.094,155.556,0,0
167.094,177.778,0,0
167.094,200,0,0
175.414,0,0,0
175.414,22.2222,0,0
175.414,44.4444,0,0
175.414,66.6667,0,0
175.414,88.8889,0,0
175.414,111.111,0,0
175.414,133.333,0,0
175.414,155.556,0,0
175.414,177.778,0,0
175.414,200,0,0
183.734,0,0,0
183.734,22.2222,0,0
183.734,44.4444,0,0
183.734,66.6667,0,0
183.734,88.8889,0,0
183.734,111.111,0,0
183.734,133.333,0,0
183.734,155.556,0,0
183.734,177.778,0,0
183.734,200,0,0
192.054,0,0,0
192.054,22.2222,0,0
192.054,44.4444,0,0
192.054,66.6667,0,0
192.054,88.8889,0,0
192.054,111.111,0,0
192.054,133.333,0,0
192.054,155.556,0,0
192.054,177.778,0,0
192.054,200,0,0
200.374,0,0,0
200.374,22.2222,0,0
200.374,44.4444,0,0
200.374,66.6667,0,0
200.374,88.8889,0,0
200.374,111.111,0,0
200.374,133.333,0,0
200.374,155.556,0,0
200.374,177.778,0,0
200.374,200,0,0
208.694,0,0,0
208.694,22.2222,0,0
208.694,44.4444,0,0
208.694,66.6667,0,0
208.694,88.8889,0,0
208.694,111.111,0,0
208.694,133.333,0,0
208.694,155.556,0,0
208.694,177.778,0,0
208.694,200,0,0
217.014,0,0,0
217.014,22.2222,0,0
217.014,44.4444,0,0
217.014,66.6667,0,0
217.014,88.8889,0,0
217.014,111.111,0,0
217.014,133.333,0,0
217.014,155.556,0,0
217.014,177.778,0,0
217.014,200,0,0
225.334,0,0,0
225.334,22.2222,0,0
225.334,44.4444,0,0
225.334,66.6667,0,0
225.334,88.8889,0,0
225.334,111.111,0,0
225.334,133.333,0,0
225.334,155.556,0,0
225.334,177.778,0,0
225.334,200,0,0
233.654,0,0,0
233.654,22.2222,0,0
233.654,44.4444,0,0
233.654,66.6667,0,0
233.654,88.8889,0,0
233.654,111.111,0,0
233.654,133.333,0,0
233.654,155.556,0,0
233.654,177.778,0,0
233.654,200,0,0
241.974,0,0,0
241.974,22.2222,0,0
241.974,44.4444,0,0
241.974,66.6667,0,0
241.974,88.8889,0,0
241.974,111.111,0,0
241.974,133.333,0,0
241.974,155.556,0,0
241.974,177.778,0,0
241.974,200,0,0
250.294,0,0,0
250.294,22.2222,0,0
250.294,44.4444,0,0
250.294,66.6667,0,0
250.294,88.8889,0,0
250.294,111.111,0,0
250.294,133.333,0,0
250.294,155.556,0,0
250.294,177.778,0,0
250.294,200,0,0
258.614,0,0,0
258.614,22.2222,0,0
258.614,44.4444,0,0
258.614,66.6667,0,0
258.614,88.8889,0,0
258.614,111.111,0,0
258.614,133.333,0,0
258.614,155.556,0,0
258.614,177.778,0,0
258.614,200,0,0
266.934,0,0,0
